item,detail,qty,unit_price_usd,total_usd
Raspberry Pi 5,4GB RAM,1,210.00,210.00
Raspberry Pi Zero 2 W,no header,2,38.00,76.00
Raspberry Pi Camera Module 3 NoIR,original not Wide,1,55.00,55.00
Raspberry Pi 27W USB-C Power Supply,EU plug ELE-DEB-RAA-041,1,20.00,20.00
Adata microSDXC 64GB,UHS-I Class 10 V10,1,18.00,18.00
UGreen SD/TF card reader,CM304 80191,1,15.00,15.00
Adata micro SD 32GB,Class 10,2,14.00,28.00
Soldering iron,60W adjustable temperature,1,12.50,12.50
Raspberry Pi 5 Active Cooler,official,1,7.00,7.00
DC/DC buck converter,12V to 5V 3A 15W,1,4.25,4.25
Raspberry Pi Zero camera cable,,1,4.00,4.00
Audio amplifier TDA7266,dual channel DC 3 to 18V,1,4.00,4.00
USB 2.0 mini microphone,,1,3.25,3.25
Metal push button switch,momentary 12V 12mm 4 pin,1,2.50,2.50
Stereo speaker,50mm 8 ohm 3W,1,1.50,1.50
Wire jumper DuPont 20cm 40pcs,M-M,1,0.90,0.90
Wire jumper DuPont 20cm 40pcs,M-F,1,0.90,0.90
Wire jumper DuPont 20cm 40pcs,F-F,1,0.90,0.90
Relay 1 channel 5V,,1,0.60,0.60
Pin header 40 pin male,single row 2.54mm pitch,2,0.20,0.40
TOTAL,,,,464.70
